age,income,city,signup_time
38.0,21480.07,dammam,2023-01-01 00:00:00+00:00
45.0,15901.99,mecca,2023-01-01 12:00:00+00:00
58.0,64342.27,unknown,2023-01-02 00:00:00+00:00
51.0,30241.17,dammam,2023-01-02 12:00:00+00:00
26.0,8001.86,dammam,2023-01-03 00:00:00+00:00
26.0,24178.7,riyadh,2023-01-03 12:00:00+00:00
21.0,15821.21,riyadh,2023-01-04 00:00:00+00:00
66.0,33732.49,jeddah,2023-01-04 12:00:00+00:00
51.0,14820.1,jeddah,2023-01-05 00:00:00+00:00
57.0,20798.41,unknown,2023-01-05 12:00:00+00:00
19.0,28353.16,jeddah,2023-01-06 00:00:00+00:00
45.0,33957.93,mecca,2023-01-06 12:00:00+00:00
64.0,12086.59,jeddah,2023-01-07 00:00:00+00:00
29.0,18634.12,unknown,2023-01-07 12:00:00+00:00
28.0,17370.48,jeddah,2023-01-08 00:00:00+00:00
28.0,15888.25,mecca,2023-01-08 12:00:00+00:00
34.0,53248.62,riyadh,2023-01-09 00:00:00+00:00
47.0,26970.28,unknown,2023-01-09 12:00:00+00:00
41.0,11725.93,riyadh,2023-01-10 00:00:00+00:00
34.0,34854.27,riyadh,2023-01-10 12:00:00+00:00
51.0,21480.07,riyadh,2023-01-11 00:00:00+00:00
25.0,36909.81,dammam,2023-01-11 12:00:00+00:00
34.0,10304.28,riyadh,2023-01-12 00:00:00+00:00
38.0,17289.99,dammam,2023-01-12 12:00:00+00:00
43.0,41500.29,riyadh,2023-01-13 00:00:00+00:00
61.0,15462.38,riyadh,2023-01-13 12:00:00+00:00
29.0,27499.13,unknown,2023-01-14 00:00:00+00:00
46.0,21480.07,riyadh,2023-01-14 12:00:00+00:00
50.0,13856.85,mecca,2023-01-15 00:00:00+00:00
20.0,21380.56,mecca,2023-01-15 12:00:00+00:00
51.0,4356.25,jeddah,2023-01-16 00:00:00+00:00
27.0,13197.81,riyadh,2023-01-16 12:00:00+00:00
21.0,19413.34,unknown,2023-01-17 00:00:00+00:00
45.0,11802.99,dammam,2023-01-17 12:00:00+00:00
45.0,49821.69,riyadh,2023-01-18 00:00:00+00:00
62.0,10774.41,jeddah,2023-01-18 12:00:00+00:00
34.0,17676.26,mecca,2023-01-19 00:00:00+00:00
23.0,23514.45,dammam,2023-01-19 12:00:00+00:00
56.0,45280.72,dammam,2023-01-20 00:00:00+00:00
42.0,10743.64,riyadh,2023-01-20 12:00:00+00:00
24.0,39402.39,riyadh,2023-01-21 00:00:00+00:00
45.0,22139.45,mecca,2023-01-21 12:00:00+00:00
19.0,13483.82,unknown,2023-01-22 00:00:00+00:00
68.0,27751.68,dammam,2023-01-22 12:00:00+00:00
32.0,24331.57,riyadh,2023-01-23 00:00:00+00:00
54.0,16315.84,unknown,2023-01-23 12:00:00+00:00
35.0,22808.78,riyadh,2023-01-24 00:00:00+00:00
46.0,18166.66,mecca,2023-01-24 12:00:00+00:00
48.0,23312.82,riyadh,2023-01-25 00:00:00+00:00
28.0,21480.07,dammam,2023-01-25 12:00:00+00:00
45.0,48679.26,unknown,2023-01-26 00:00:00+00:00
61.0,21480.07,unknown,2023-01-26 12:00:00+00:00
45.0,63992.21,unknown,2023-01-27 00:00:00+00:00
67.0,8299.55,dammam,2023-01-27 12:00:00+00:00
51.0,20416.68,dammam,2023-01-28 00:00:00+00:00
69.0,29559.45,riyadh,2023-01-28 12:00:00+00:00
22.0,25349.03,jeddah,2023-01-29 00:00:00+00:00
28.0,16133.45,riyadh,2023-01-29 12:00:00+00:00
20.0,19849.59,mecca,2023-01-30 00:00:00+00:00
36.0,17214.37,riyadh,2023-01-30 12:00:00+00:00
45.0,16404.61,unknown,2023-01-31 00:00:00+00:00
33.0,513434.80000000005,jeddah,2023-01-31 12:00:00+00:00
64.0,26331.15,riyadh,2023-02-01 00:00:00+00:00
37.0,15576.91,jeddah,2023-02-01 12:00:00+00:00
33.0,34537.46,riyadh,2023-02-02 00:00:00+00:00
48.0,25684.67,dammam,2023-02-02 12:00:00+00:00
25.0,21480.07,unknown,2023-02-03 00:00:00+00:00
62.0,30176.37,riyadh,2023-02-03 12:00:00+00:00
22.0,14552.27,riyadh,2023-02-04 00:00:00+00:00
45.0,16645.74,riyadh,2023-02-04 12:00:00+00:00
60.0,32004.98,riyadh,2023-02-05 00:00:00+00:00
29.0,29887.19,riyadh,2023-02-05 12:00:00+00:00
18.0,21797.47,riyadh,2023-02-06 00:00:00+00:00
63.0,23357.27,jeddah,2023-02-06 12:00:00+00:00
57.0,41724.03,riyadh,2023-02-07 00:00:00+00:00
58.0,16386.52,unknown,2023-02-07 12:00:00+00:00
60.0,28956.46,dammam,2023-02-08 00:00:00+00:00
22.0,19908.53,dammam,2023-02-08 12:00:00+00:00
45.0,19754.95,riyadh,2023-02-09 00:00:00+00:00
24.0,38154.1,riyadh,2023-02-09 12:00:00+00:00
65.0,33279.88,dammam,2023-02-10 00:00:00+00:00
52.0,33082.34,dammam,2023-02-10 12:00:00+00:00
36.0,42308.34,jeddah,2023-02-11 00:00:00+00:00
21.0,21480.07,mecca,2023-02-11 12:00:00+00:00
35.0,30976.26,unknown,2023-02-12 00:00:00+00:00
36.0,18861.28,riyadh,2023-02-12 12:00:00+00:00
58.0,25902.2,mecca,2023-02-13 00:00:00+00:00
53.0,20638.81,riyadh,2023-02-13 12:00:00+00:00
67.0,23121.03,dammam,2023-02-14 00:00:00+00:00
44.0,29660.71,mecca,2023-02-14 12:00:00+00:00
45.0,14630.88,unknown,2023-02-15 00:00:00+00:00
45.0,62704.82,riyadh,2023-02-15 12:00:00+00:00
60.0,13319.59,riyadh,2023-02-16 00:00:00+00:00
49.0,12002.93,riyadh,2023-02-16 12:00:00+00:00
60.0,39302.97,unknown,2023-02-17 00:00:00+00:00
45.0,32722.93,unknown,2023-02-17 12:00:00+00:00
47.0,30093.36,dammam,2023-02-18 00:00:00+00:00
41.0,30157.01,riyadh,2023-02-18 12:00:00+00:00
19.0,21892.0,riyadh,2023-02-19 00:00:00+00:00
23.0,14063.99,mecca,2023-02-19 12:00:00+00:00
19.0,22877.34,riyadh,2023-02-20 00:00:00+00:00
53.0,15700.05,jeddah,2023-02-20 12:00:00+00:00
35.0,35866.53,jeddah,2023-02-21 00:00:00+00:00
45.0,20465.0,unknown,2023-02-21 12:00:00+00:00
68.0,14577.75,dammam,2023-02-22 00:00:00+00:00
31.0,18756.71,jeddah,2023-02-22 12:00:00+00:00
40.0,27077.7,riyadh,2023-02-23 00:00:00+00:00
59.0,16616.27,riyadh,2023-02-23 12:00:00+00:00
45.0,14601.65,riyadh,2023-02-24 00:00:00+00:00
22.0,24880.6,unknown,2023-02-24 12:00:00+00:00
34.0,24896.52,mecca,2023-02-25 00:00:00+00:00
26.0,17094.78,unknown,2023-02-25 12:00:00+00:00
69.0,17404.44,mecca,2023-02-26 00:00:00+00:00
62.0,24736.25,unknown,2023-02-26 12:00:00+00:00
53.0,10678.18,unknown,2023-02-27 00:00:00+00:00
66.0,10897.28,unknown,2023-02-27 12:00:00+00:00
62.0,15379.3,mecca,2023-02-28 00:00:00+00:00
28.0,19796.82,mecca,2023-02-28 12:00:00+00:00
67.0,25731.05,unknown,2023-03-01 00:00:00+00:00
47.0,46058.98,jeddah,2023-03-01 12:00:00+00:00
62.0,33820.75,dammam,2023-03-02 00:00:00+00:00
67.0,20333.62,dammam,2023-03-02 12:00:00+00:00
35.0,21480.07,dammam,2023-03-03 00:00:00+00:00
24.0,13342.84,mecca,2023-03-03 12:00:00+00:00
30.0,21823.52,mecca,2023-03-04 00:00:00+00:00
41.0,19066.17,jeddah,2023-03-04 12:00:00+00:00
63.0,21480.07,dammam,2023-03-05 00:00:00+00:00
65.0,14565.11,dammam,2023-03-05 12:00:00+00:00
18.0,28557.45,unknown,2023-03-06 00:00:00+00:00
46.0,47399.62,mecca,2023-03-06 12:00:00+00:00
41.0,20860.65,dammam,2023-03-07 00:00:00+00:00
45.0,26926.22,riyadh,2023-03-07 12:00:00+00:00
24.0,31103.39,jeddah,2023-03-08 00:00:00+00:00
36.0,18022.74,riyadh,2023-03-08 12:00:00+00:00
45.0,24638.02,riyadh,2023-03-09 00:00:00+00:00
35.0,22165.59,jeddah,2023-03-09 12:00:00+00:00
46.0,21480.07,riyadh,2023-03-10 00:00:00+00:00
57.0,14965.38,dammam,2023-03-10 12:00:00+00:00
38.0,22298.06,mecca,2023-03-11 00:00:00+00:00
45.0,28254.25,jeddah,2023-03-11 12:00:00+00:00
45.0,45504.74,unknown,2023-03-12 00:00:00+00:00
31.0,35583.43,riyadh,2023-03-12 12:00:00+00:00
45.0,64640.16,jeddah,2023-03-13 00:00:00+00:00
34.0,15007.81,riyadh,2023-03-13 12:00:00+00:00
33.0,34069.58,riyadh,2023-03-14 00:00:00+00:00
20.0,24141.1,mecca,2023-03-14 12:00:00+00:00
51.0,65834.64,dammam,2023-03-15 00:00:00+00:00
45.0,14703.65,mecca,2023-03-15 12:00:00+00:00
20.0,14474.43,mecca,2023-03-16 00:00:00+00:00
33.0,16322.56,mecca,2023-03-16 12:00:00+00:00
68.0,7616.35,mecca,2023-03-17 00:00:00+00:00
31.0,513434.80000000005,unknown,2023-03-17 12:00:00+00:00
26.0,15069.58,unknown,2023-03-18 00:00:00+00:00
45.0,23746.65,jeddah,2023-03-18 12:00:00+00:00
45.0,26131.01,riyadh,2023-03-19 00:00:00+00:00
31.0,56279.49,mecca,2023-03-19 12:00:00+00:00
55.0,35426.38,jeddah,2023-03-20 00:00:00+00:00
60.0,16507.14,riyadh,2023-03-20 12:00:00+00:00
31.0,14055.83,riyadh,2023-03-21 00:00:00+00:00
58.0,28168.5,dammam,2023-03-21 12:00:00+00:00
38.0,11383.08,unknown,2023-03-22 00:00:00+00:00
53.0,55035.26,riyadh,2023-03-22 12:00:00+00:00
53.0,39724.37,riyadh,2023-03-23 00:00:00+00:00
47.0,17420.66,riyadh,2023-03-23 12:00:00+00:00
23.0,9352.82,dammam,2023-03-24 00:00:00+00:00
64.0,43344.55,riyadh,2023-03-24 12:00:00+00:00
35.0,20800.45,riyadh,2023-03-25 00:00:00+00:00
28.0,40900.93,unknown,2023-03-25 12:00:00+00:00
20.0,9924.74,unknown,2023-03-26 00:00:00+00:00
50.0,21480.07,jeddah,2023-03-26 12:00:00+00:00
55.0,22084.29,riyadh,2023-03-27 00:00:00+00:00
18.0,22550.0,mecca,2023-03-27 12:00:00+00:00
46.0,17587.91,riyadh,2023-03-28 00:00:00+00:00
30.0,30074.26,riyadh,2023-03-28 12:00:00+00:00
53.0,12915.58,riyadh,2023-03-29 00:00:00+00:00
27.0,20512.92,riyadh,2023-03-29 12:00:00+00:00
56.0,21480.07,dammam,2023-03-30 00:00:00+00:00
39.0,28487.46,unknown,2023-03-30 12:00:00+00:00
45.0,31439.09,riyadh,2023-03-31 00:00:00+00:00
25.0,12552.55,unknown,2023-03-31 12:00:00+00:00
36.0,10228.6,riyadh,2023-04-01 00:00:00+00:00
24.0,41724.28,jeddah,2023-04-01 12:00:00+00:00
69.0,26007.94,mecca,2023-04-02 00:00:00+00:00
66.0,15150.01,riyadh,2023-04-02 12:00:00+00:00
32.0,47838.02,unknown,2023-04-03 00:00:00+00:00
54.0,23337.98,jeddah,2023-04-03 12:00:00+00:00
63.0,39721.53,riyadh,2023-04-04 00:00:00+00:00
48.0,22782.76,dammam,2023-04-04 12:00:00+00:00
47.0,61720.66,mecca,2023-04-05 00:00:00+00:00
31.0,52980.03,riyadh,2023-04-05 12:00:00+00:00
23.0,19448.36,jeddah,2023-04-06 00:00:00+00:00
67.0,35802.95,dammam,2023-04-06 12:00:00+00:00
68.0,30414.9,riyadh,2023-04-07 00:00:00+00:00
53.0,43665.6,jeddah,2023-04-07 12:00:00+00:00
36.0,13596.1,jeddah,2023-04-08 00:00:00+00:00
37.0,31039.81,dammam,2023-04-08 12:00:00+00:00
